combat,durability,intelligence,name,power,speed,strength,base,id,occupation,relatives,aliases,alignment,alter-egos,full-name,publisher
75,90,75,Angel,100,58,30,-,24,"Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist","Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram ""Burt"" Worthington (Dazzler, paternal uncle), unnamed cousin","['Formerly Death', 'Dark Angel', 'Angel', 'Avenging Angel', 'Archangel']",good,Archangel,Warren Kenneth Worthington III,Archangel
42,64,63,Angel,28,46,13,-,24,"Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist","Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram ""Burt"" Worthington (Dazzler, paternal uncle), unnamed cousin","['Formerly Death', 'Dark Angel', 'Angel', 'Avenging Angel', 'Archangel']",good,Archangel,Warren Kenneth Worthington III,Archangel
30,42,38,Angel Dust,17,23,55,"Chicago, Illinois",25,-,-,"['Angel', 'Dusty']",good,No alter egos found.,Christina,Marvel Comics
60,28,38,Angel Salvadore,56,28,10,-,26,-,Tito Bohusk (son); Axel Bohusk (son); Kara Bohusk (daughter); three other unidentified children;,['Tempest'],good,Tempest,Angel Salvadore Bohusk,Tempest
null,null,null,Angela,null,null,97,-,27,-,-,['-'],bad,No alter egos found.,,Image Comics
80,85,56,Animal Man,73,47,48,"San Diego, California",28,-,"Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)",['The Human Zoo; A-Man; The Man with Animal Powers'],good,No alter egos found.,Bernhard Baker,DC Comics
64,56,75,Annihilus,59,47,80,-,29,"Conqueror, scavenger",Annihilus is a series of clonal scions,"['The Living Death That Walks', 'Lord of the Negative Zone']",bad,No alter egos found.,Annihilus,Marvel Comics
32,28,100,Ant-Man,32,23,18,"Avengers Compound, Los Angeles; formerly Infinite Avengers Mansion; Captive aboard a Skrull ship; Avengers Mansion, New York City, New York",30,"Adventurer, Biochemist, former manager of Avengers Compound",-,"['Hank Pym', 'Doctor Pym', 'Ant-Man', 'Goliath', 'Yellowjacket', 'Wasp', ""Earth's Scientist Supreme""]",good,"Giant-Man, Goliath, Wasp II, Yellowjacket",Hank Pym,Giant-Man
30,40,75,Ant-Man II,53,17,18,"South Beach, Miami, Florida; formerly Farmingdale, Long Island, New York",31,"Electronics Technician,","Cassandra Eleanor Lang (daughter), Ruth (sister), Carl (brother-in-law), Peggy Rae (ex-wife)","['Myrmidon', 'Scott Edward Harris Lang']",good,No alter egos found.,Scott Lang,Marvel Comics
90,100,88,Anti-Monitor,100,50,100,"Qward, Antimatter Universe",32,-,"Monitor (""brother""), The Monitors","['Monitor', 'Mobius']",bad,No alter egos found.,,DC Comics
null,null,null,Anti-Spawn,null,null,58,-,33,-,-,['Redeemer'],bad,No alter egos found.,Jason Wynn,Image Comics
84,90,75,Anti-Venom,96,65,60,"New York, New York",34,Vigilante; former journalist for the Daily Globe,"Carl Brock (father, estranged), Janine Brock (mother, deceased), Mary Brock (sister), Ann Weying (ex-wife, deceased), Symbiotes' relatives: Toxin Symbiote (current symbiote, former grandson), Venom Symbiote (former symbiote, grandfather, former brother), Agony, Phage, Riot, Lasher (uncles, former sons), Scorn (sister, former niece), Carnage (father, former son), Scream (aunt, former daughter, deceased), Hybrid (uncle, former son, deceased)","['Eddie', 'Edwin Brock', 'Venom', 'Lethal Protector', 'White Venom', '998th']",-,"Toxin, Venom",Eddie Brock,Toxin
60,100,100,Apocalypse,100,33,100,"Celestial Ship, mobile",35,Student; formerly Conqueror; Scientist,"Baal of the Crimson Sands (adopted father, deceased)","['The Eternal One', 'the High Lord', 'Set', 'Huitxilopochti', 'Sauru', 'Kali-Ma']",bad,No alter egos found.,En Sabah Nur,Marvel Comics
14,14,10,Aquababy,37,12,16,Atlantis,36,-,"Aquaman (Orin\/Arthur Curry) (father); Mera (mother); Koryak (half-brother); A.J. (half-brother); Atlan (grandfather); Tom Curry (adoptive grandfather, deceased); Orm Marius (uncle); Kordax (ancestor, deceased); Arthur Joseph Curry (adoptive cousin)",['-'],good,No alter egos found.,"Arthur Curry, Jr.",DC Comics
60,75,63,Aqualad,89,42,44,Atlantis,37,"Adventurer; Magician, former Sidekick","Cerdian (son), Dolphin (wife), Berra (mother), Thar (father), Slizzath (uncle) Donna (grand-daughter)",['-'],good,No alter egos found.,Garth,DC Comics
80,80,81,Aquaman,100,79,85,"Atlantean Royal Palace; Poseidonis, Atlantis",38,"Protector of the Seas and Oceans, King of Poseidonis","Koryak (son), Arthur Curry, Jr. (son), A.J. (son), Orm Marius (half-brother), Debbie Perkins (half-sister), Drin (adopted brother), Atlanna (mother), Atlan (father), Atlena (aunt), Porm (adopted mother), Tom Curry (adopted father), Mera (wife), Hila (sister-in-law), Haumond (uncle), Kraken (uncle), Honsu (grandfather), Lorelei (grandmother), Manu (ancestor), Nala (ancestor), Fatima (ancestor), Kalunga (ancestor), Gana (ancestor), Fiona (ancestor), Regin (ancestor), Kordax (ancestor), Bazil (ancestor), Cora (ancestor), Illya (ancestor), Dardanus (ancestor), Alloroc (ancestor), Cole (ancestor), Narmea (ancestor), Orin (ancestor), Loma (ancestor), Shalako (ancestor), Thorvall (ancestor)","['Dweller in the Depths', 'Swimmer', 'Waterbearer', 'Mental Man', 'Aquaboy', 'Water Wraith']",good,No alter egos found.,Orin,DC Comics
70,70,50,Arachne,71,50,48,"Mobile; formerly Denver, Colorado; formerly Avengers Compound, Los Angeles, California",39,"Adventurer, fugitive, former government agent","Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)","['Spider-Woman', 'Madame Web']",good,No alter egos found.,Julia Carpenter,Marvel Comics
42,64,63,Archangel,35,58,13,-,40,"Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist","Wallace Worthington (paternal ancestor, deceased), Warren Worthington Sr. (paternal grandfather, deceased), Warren Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burt Worthington (paternal uncle), Mimi (maternal aunt), unnamed distant cousin","['War', 'Dark Angel', 'Death', 'Avenging Angel']",good,Angel,Warren Kenneth Worthington III,Angel
70,42,38,Arclight,52,23,63,-,41,Terrorist,-,['-'],bad,No alter egos found.,Philippa Sontag,Marvel Comics
25,80,63,Ardina,100,100,100,-,42,-,"Norrin Radd (Silver Surfer, clonal source), Clea (creator)",['-'],good,No alter egos found.,Ardina,Marvel Comics
101,80,75,Ares,84,35,82,"Avengers Tower, formerly Olympus",43,-,"Zeus (father), Hera (mother), Enyo (wife), Deimos, Phobos, Alexander (sons), Neptune, Pluto (uncles), Demeter, Hestia (aunts), Hephaestus (brother), Apollo, Dionysus, Hercules, Hermes(half-brothers), Artemis, Pallas Athena, Venus, (half-sisters)","['God of War', 'Mister Talon', 'Mars', 'Warhawk']",good,No alter egos found.,,Marvel Comics
28,14,50,Ariel,94,12,10,-,44,"Leader, refugee alien; former alien mutant-hunter and hedonist",-,['-'],good,No alter egos found.,Ariel,Marvel Comics
54,80,50,Armor,55,12,63,-,45,"Adventurer, student",-,"['X-Girl', 'Kid']",good,No alter egos found.,Hisako Ichiki,Marvel Comics
null,null,null,Arsenal,null,null,54,-,46,-,-,['-'],good,Speedy,"Roy William Harper, Jr.",Speedy
null,null,null,Astro Boy,null,null,90,-,47,-,-,['-'],good,No alter egos found.,Atom,null
50,100,63,Atlas,98,25,80,-,48,"Adventurer; former professional criminal, mercenary, dock worker, soldier","Unidentified parents (deceased), Carl (brother, deceased), Conrad (brother), Lindy (sister, deceased)","['Power Man', 'Smuggler', 'Goliath', 'Shatterfist', 'Intruder from Beyond', 'Edward Jantzen']",good,"Goliath, Power Man, Smuggler",Erik Josten,Goliath
80,100,63,Atlas,27,42,100,-,48,"Adventurer; former professional criminal, mercenary, dock worker, soldier","Unidentified parents (deceased), Carl (brother, deceased), Conrad (brother), Lindy (sister, deceased)","['Power Man', 'Smuggler', 'Goliath', 'Shatterfist', 'Intruder from Beyond', 'Edward Jantzen']",good,"Goliath, Power Man, Smuggler",Erik Josten,Goliath
50,100,63,Atlas,98,25,80,"Formely; Hyssa, Metropolis",49,-,-,"['Atlas the Great', 'Atlas the Untamed']",bad,No alter egos found.,,DC Comics
80,100,63,Atlas,27,42,100,"Formely; Hyssa, Metropolis",49,-,-,"['Atlas the Great', 'Atlas the Untamed']",bad,No alter egos found.,,DC Comics
null,null,null,Atom,null,null,null,"GBS Building, Gotham City (former) Calvin College on Earth-Two",50,"Adventurer, Retired Professor of Nuclear Physics","Mary James (wife, deceased), Grant Albert Emerson (Damage, son), Albert Rothstein (aka Nuklon \/ Atom-Smasher, godson)","['Little Superman', 'the Mighty Mite']",good,No alter egos found.,Albert Pratt,DC Comics
null,null,null,Atom,null,null,null,"GBS Building, Gotham City (former) Calvin College on Earth-Two",50,"Adventurer, Retired Professor of Nuclear Physics","Mary James (wife, deceased), Grant Albert Emerson (Damage, son), Albert Rothstein (aka Nuklon \/ Atom-Smasher, godson)","['Little Superman', 'the Mighty Mite']",good,No alter egos found.,Albert Pratt,DC Comics
null,null,null,Atom,null,null,null,-,51,-,-,['-'],good,No alter egos found.,,DC Comics
null,null,null,Atom,null,null,null,-,51,-,-,['-'],good,No alter egos found.,,DC Comics
42,28,38,Atom Girl,38,23,10,"United Planets, 31st century",52,-,-,['Shrinking Violet'],good,No alter egos found.,Salu Digby,DC Comics
60,45,88,Atom II,40,33,10,Ivy Town,53,Physics Professor,"Jean Loring (ex-wife, deceased), Princess Laethwen (wife, deceased), Danny Palmer (brother, deceased), David Palmer (father), Susan Palmer (mother, deceased), David Palmer (uncle)","['The Mighty Mite', 'the Tiny Titan', ""the World's Smallest Hero""]",good,No alter egos found.,Ray Palmer,DC Comics
null,null,null,Atom III,null,null,null,-,54,-,"Senator Cray (father, deceased)",['-'],good,No alter egos found.,Adam Cray,DC Comics
null,null,null,Atom IV,null,null,null,Ivy Town,55,Professor of nuclear physics at Ivy University,Professor Choi (father); mother (deceased); sister (unnamed); Jia Choi (descendent).,['-'],good,No alter egos found.,Ryan Choi,DC Comics
56,60,63,Aurora,74,96,10,"Laval, Quebec, Canada",56,"Adventurer; former terrorist, nun, history\/geography teacher","Jean-Baptiste Beaubier (father, deceased), unidentified mother (deceased), Jean-Paul Beaubier (Northstar, twin brother) Joanna Beaubier (adopted niece, deceased); Lois and Genevieve Martin (first cousins once removed\/adopted parents, deceased)",['Sister Beaubier'],good,No alter egos found.,Jeanne-Marie Beaubier,Marvel Comics
80,95,50,Azazel,100,47,11,"Brimstone Dimension; formerly La Isla des Demonas, Bermuda",57,Leader of the Neyaphem,"Kurt Wagner (Nightcrawler, son), Nils Styger (Abyss, son), Kiwi Black (son), numberous other offspring (deceased)","['Semihazah', 'Duma', 'Keriel', 'Mastema', 'Beliar', 'Gadreel', 'Beelzebub', 'Satan']",bad,No alter egos found.,,Marvel Comics
80,20,63,Azrael,35,17,18,-,58,"Former Police Officer, vigilante","Mitchell Lane (father; deceased), Barbara Lane (mother; deceased), Marion Lane (brother; deceased), Gwendolyn Lane (sister; deceased), Chante Coles (wife; deceased), Henry Mitchell Lane (son; deceased), Jenny Lane (Sister-in-law)",['Bat-Devil; Bat-Ghost'],good,No alter egos found.,Michael Washington Lane,DC Comics
null,null,null,Aztar,null,null,98,-,59,-,-,['Spirit of Vengeance'],good,Spectre,Aztar,Spectre
95,56,88,Bane,51,23,38,Santa Prisca,60,-,King Snake (father),['-'],bad,No alter egos found.,,DC Comics
70,40,50,Banshee,63,58,10,"Muir Island, off the coast of Scotland. formerly Massachusetts Academy; Xavier Institute",61,"Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor","Maeve Rourke Cassidy (wife, deceased), Thomas (Black Tom, cousin), Theresa Rourke (Siryn, daughter)",['Death'],good,No alter egos found.,Sean Cassidy,Marvel Comics
56,54,25,Bantam,21,23,53,-,62,"Adventurer, boxing trainer, former boxer",-,['-'],good,No alter egos found.,Roberto Velasquez,Marvel Comics
90,40,88,Batgirl,34,33,11,"Gotham City, formerly Metropolis, Platinum Flats",63,-,"James Gordon (father) � Barbara Eileen (mother) � James Gordon, Jr. (brother)","['Oracle', 'Bluebelle']",good,Oracle,Barbara Gordon,Oracle
null,null,null,Batgirl,null,null,27,"Gotham City, formerly Metropolis, Platinum Flats",63,-,"James Gordon (father) � Barbara Eileen (mother) � James Gordon, Jr. (brother)","['Oracle', 'Bluebelle']",good,Oracle,Barbara Gordon,Oracle
90,40,88,Batgirl,34,33,11,Gotham City,64,Crime-fighter,"Katherine Kane (Batwoman I,  Aunt)","['Bette Kane', 'Bat-Girl']",good,Hawkfire,Mary Elizabeth Kane,Hawkfire
null,null,null,Batgirl,null,null,27,Gotham City,64,Crime-fighter,"Katherine Kane (Batwoman I,  Aunt)","['Bette Kane', 'Bat-Girl']",good,Hawkfire,Mary Elizabeth Kane,Hawkfire
null,null,null,Batgirl III,null,null,43,-,65,-,-,['-'],good,Huntress,Helena Rosa Bertinelli,Huntress
100,56,69,Batgirl IV,46,27,12,Gotham City; Bl�dhaven; Tibet; New York City,66,-,"David Cain (father), Lady Shiva (mother), Carolyn (aunt, deceased), Annalea (sibling, deceased), 'The Mad Dog' (sibling)","['Kasumi', 'various mundane persona,']",good,No alter egos found.,Cassandra Cain,DC Comics
null,null,null,Batgirl V,null,null,null,-,67,-,-,['-'],good,Misfit,Charlotte Gage-Radcliffe,Misfit
80,28,75,Batgirl VI,22,23,10,"Gotham Heights, Gotham City",68,College student at Gotham University,"Arthur Brown (The Cluemaster, father), Crystal Brown (mother), unnamed daughter (given up for adoption)","['Steph', 'Robin', 'Marion Todd', 'Spoiler']",good,Spoiler,Stephanie Brown,Spoiler
90,55,81,Batman,63,29,40,21st Century Gotham City,69,-,"Bruce Wayne (biological father), Warren McGinnis (father, deceased), Mary McGinnis (mother), Matt McGinnis (brother)","['Batman II', 'The Tomorrow Knight', 'The second Dark Knight', 'The Dark Knight of Tomorrow', 'Batman Beyond']",good,No alter egos found.,Terry McGinnis,DC Comics
100,50,100,Batman,47,27,26,21st Century Gotham City,69,-,"Bruce Wayne (biological father), Warren McGinnis (father, deceased), Mary McGinnis (mother), Matt McGinnis (brother)","['Batman II', 'The Tomorrow Knight', 'The second Dark Knight', 'The Dark Knight of Tomorrow', 'Batman Beyond']",good,No alter egos found.,Terry McGinnis,DC Comics
90,55,81,Batman,63,29,40,"Batcave, Stately Wayne Manor, Gotham City; Hall of Justice, Justice League Watchtower",70,Businessman,"Damian Wayne (son), Dick Grayson (adopted son), Tim Drake (adopted son), Jason Todd (adopted son), Cassandra Cain (adopted ward)
Martha Wayne (mother, deceased), Thomas Wayne (father, deceased), Alfred Pennyworth (former guardian), Roderick Kane (grandfather, deceased), Elizabeth Kane (grandmother, deceased), Nathan Kane (uncle, deceased), Simon Hurt (ancestor), Wayne Family","['Insider', 'Matches Malone']",good,No alter egos found.,Bruce Wayne,DC Comics
100,50,100,Batman,47,27,26,"Batcave, Stately Wayne Manor, Gotham City; Hall of Justice, Justice League Watchtower",70,Businessman,"Damian Wayne (son), Dick Grayson (adopted son), Tim Drake (adopted son), Jason Todd (adopted son), Cassandra Cain (adopted ward)
Martha Wayne (mother, deceased), Thomas Wayne (father, deceased), Alfred Pennyworth (former guardian), Roderick Kane (grandfather, deceased), Elizabeth Kane (grandmother, deceased), Nathan Kane (uncle, deceased), Simon Hurt (ancestor), Wayne Family","['Insider', 'Matches Malone']",good,No alter egos found.,Bruce Wayne,DC Comics
100,28,88,Batman II,36,33,11,"Gotham City; formerly Bludhaven, New York City",71,-,"John Grayson (father, deceased), Mary Grayson (mother, deceased), Bruce Wayne \/ Batman (adoptive father), Damian Wayne \/ Robin (foster brother), Jason Todd \/ Red Hood (adoptive brother), Tim Drake \/ Red Robin (adoptive brother), Cassandra Cain \/ Batgirl IV (adoptive sister)",['Dick Grayson'],good,"Nightwing, Robin",Dick Grayson,Nightwing
74,74,50,Battlestar,48,35,53,-,72,"Former wrestler, federal operative",-,['Bucky'],good,No alter egos found.,Lemar Hoskins,Marvel Comics
80,25,81,Batwoman V,27,29,8,Gotham City,73,-,"Jacob Kane (father), Gabi Kane (mother; deceased), Beth Kane (twin sister), Mary Elizabeth ""Bette"" Kane (cousin), Catherine Hamilton-Kane (stepmother), Philip Kane (uncle), Kane Family",['-'],good,No alter egos found.,Katherine Rebecca Kane,DC Comics
null,null,null,Beak,null,null,null,-,74,-,"Charles (father), Kathy (mother), Angel Salvadore (wife), Tito (son), Axel (son), Kara (daughter), three unidentified children",['Blackwing'],good,No alter egos found.,Barnell Bohusk,Marvel Comics
85,60,94,Beast,43,38,48,"Xavier Institute, Salem Center, Westchester County, New York",75,"Biochemist, formerly Xavier Institute for Higher Learning science and math Instructor, mutant activist, college lecturer, researcher, professional wrestler","Sadie McCoy (paternal grandmother), Norton McCoy (father), Edna McCoy (mother), Robert McCoy (paternal great-uncle), John McCoy (uncle)","['Dr. McCoy', 'Hanko', 'Kreature', 'Mutate #666', 'Magilla Gorilla', 'Golden Armed Boy']",good,No alter egos found.,Henry Philip McCoy,Marvel Comics
40,70,50,Beast Boy,79,50,28,"Prague; formerly Hollywood, California; formerly Manhattan, New York",76,"Adventurer, Struggling Actor","Mark Logan (father, deceased), Marie Logan (mother, deceased), Steve Dayton\/Mento (adoptive father), Rita Farr\/Elasti-Girl (adoptive mother), Matt Logan (cousin)","['Changeling', 'Beast-Brat', 'Green Jeans', 'Salad-head', 'Sprout', 'Tork', 'Craig Logan']",good,No alter egos found.,Garfield Mark Logan,DC Comics
null,null,null,Beetle,null,null,54,-,77,-,-,['-'],bad,No alter egos found.,,Marvel Comics
40,10,10,Ben 10,90,8,7,-,78,-,-,['Ben Ten'],good,No alter egos found.,Benjamin Kirby Tennyson,DC Comics
84,95,63,Beta Ray Bill,100,35,80,"currently New York City, formerly Asgard, formerly the fleet of Korbinite ships.",79,Guardian of the Korbinite race,-,"['Beta Ray Thor', 'Simon Walters']",good,No alter egos found.,Beta Ray Bill (translation of his Korbinite name),Marvel Comics
84,100,100,Beyonder,100,100,100,-,80,Former student,-,"['Ataxi', 'The Beyond Realm', 'Frank', 'Goblin Force', 'Goblin King', 'Goblyn King', 'Goblin Queen', 'The One From Beyond', 'God', 'Kosmos', 'Maker']",good,No alter egos found.,,Marvel Comics
100,100,88,Big Barda,100,79,100,"Gotham City, New Genesis, formerly Apokolips",81,-,"Big Breeda (mother), Scott Free (Mister Miricle, husband), Highfather Izaya (father-in-law, deceased)","['Barda', 'the Strongest Woman in the World']",bad,No alter egos found.,Barda Free,DC Comics
64,32,38,Big Daddy,22,12,10,-,82,-,Hit-Girl (daughter),['-'],good,No alter egos found.,Damon Macready,Icon Comics
70,28,75,Big Man,19,23,12,-,83,"Reporter, professional criminal","Janice Foswell (daughter), unnamed wife",['Patch'],bad,No alter egos found.,Frederick Foswell,Marvel Comics
40,60,63,Bill Harken,27,33,36,-,84,-,-,['-'],good,No alter egos found.,,SyFy
null,null,null,Billy Kincaid,null,null,null,-,85,-,-,['-'],bad,No alter egos found.,Billy Kincaid,Image Comics
null,null,null,Binary,null,null,null,Avengers Mansion,86,"Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.","Joseph (father), Marie (mother), Steve (brother, deceased),","['Ms. Marvel', 'Binary']",good,"Captain Marvel, Warbird",Carol Danvers,Captain Marvel
40,40,56,Bionic Woman,20,33,37,-,87,-,-,['Clarissa Whyte'],good,No alter egos found.,Jamie Sommers,
42,28,25,Bird-Brain,21,35,10,-,88,-,-,['Bird-Boy'],good,No alter egos found.,,Marvel Comics
null,null,null,Bird-Man,null,null,null,-,89,-,-,['-'],bad,No alter egos found.,Henry Hawk,Marvel Comics
null,null,null,Bird-Man II,null,null,null,-,90,-,-,['-'],bad,No alter egos found.,Achille DiBacco,Marvel Comics
null,null,null,Birdman,null,null,35,-,91,-,-,"['Bird-Man', 'Harvey Birdman', 'Ray Randal', 'Harvey Birdman Attorney at Law', 'Harry', 'Henry', 'Birdbath', 'Bootyliciuos']",good,No alter egos found.,Ray Randal,Hanna-Barbera
65,75,63,Bishop,100,23,14,"Formerly Xavier Institute for Higher Learning, Salem Center, Westchester County, New York",92,"(current) Adventurer, (former) Commander in the XSE (Xavier's Security Enforcers)","Burnum Bishop (father, deceased), Kadee Bishop (mother, deceased), Shard (sister, deceased), unnamed grandmother, Gateway (great-grandfather), Aliyah Bishop (alternate reality daughter);",['Archbishop'],good,No alter egos found.,Lucas Bishop,Marvel Comics
85,100,38,Bizarro,100,100,95,Bizarro World,93,-,"Bizarro-Lois No. 1 (wife, Pre-Crisis only), Bizarro, Jr. (son, Pre-Crisis only), Bizarro-Lois, Jr. (daughter, Pre-Crisis only)",['-'],neutral,No alter egos found.,Bizarro,DC Comics
null,null,null,Black Abbott,null,null,null,-,94,"Cult leader, former monk",-,['Lord Abbott'],bad,No alter egos found.,,Marvel Comics
56,100,88,Black Adam,100,92,100,Mobile; Formerly Kahndaq; Fawcett City; New York City,95,-,"Shiruta (wife, deceased), Gon and Hurut (sons, deceased) Theo Adam (descendant, currently in control of his body), Sarah Primm (descendant, Theo's sister), Adrianna Tomaz (wife. deceased), Amon Tomaz (brother-in-law, deceased)","['Hassan Bari', 'Theo Adam', 'Mighty Adam', 'Khem-Adam']",bad,No alter egos found.,Teth-Adam,DC Comics
